Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Fri May 19 2023,Connecticut Sun,70,Indiana Fever,61,Box Score,Commissioner's Cup Game
Fri May 19 2023,Phoenix Mercury,71,Los Angeles Sparks,94,Box Score,Commissioner's Cup Game
Fri May 19 2023,Chicago Sky,77,Minnesota Lynx,66,Box Score,
Fri May 19 2023,New York Liberty,64,Washington Mystics,80,Box Score,Commissioner's Cup Game
Sat May 20 2023,Atlanta Dream,78,Dallas Wings,85,Box Score,
Sat May 20 2023,Las Vegas Aces,105,Seattle Storm,64,Box Score,Commissioner's Cup Game
Sun May 21 2023,Washington Mystics,74,Connecticut Sun,80,Box Score,Commissioner's Cup Game
Sun May 21 2023,Indiana Fever,73,New York Liberty,90,Box Score,Commissioner's Cup Game
Sun May 21 2023,Chicago Sky,75,Phoenix Mercury,69,Box Score,
Tue May 23 2023,Atlanta Dream,83,Minnesota Lynx,77,Box Score,
Tue May 23 2023,Connecticut Sun,88,Washington Mystics,81,Box Score,Commissioner's Cup Game
Thu May 25 2023,Las Vegas Aces,94,Los Angeles Sparks,85,Box Score,Commissioner's Cup Game
Thu May 25 2023,Minnesota Lynx,81,Phoenix Mercury,90,Box Score,Commissioner's Cup Game
Fri May 26 2023,Washington Mystics,71,Chicago Sky,69,Box Score,Commissioner's Cup Game
Fri May 26 2023,Dallas Wings,95,Seattle Storm,91,Box Score,Commissioner's Cup Game
Sat May 27 2023,Los Angeles Sparks,65,Las Vegas Aces,93,Box Score,Commissioner's Cup Game
Sat May 27 2023,Connecticut Sun,65,New York Liberty,81,Box Score,Commissioner's Cup Game
Sun May 28 2023,Indiana Fever,90,Atlanta Dream,87,Box Score,Commissioner's Cup Game
Sun May 28 2023,Dallas Wings,88,Chicago Sky,94,Box Score,
Sun May 28 2023,Minnesota Lynx,73,Las Vegas Aces,94,Box Score,Commissioner's Cup Game
Tue May 30 2023,Chicago Sky,65,Atlanta Dream,83,Box Score,Commissioner's Cup Game
Tue May 30 2023,Indiana Fever,78,Connecticut Sun,81,Box Score,Commissioner's Cup Game
Tue May 30 2023,Minnesota Lynx,89,Dallas Wings,94,Box Score,Commissioner's Cup Game
Tue May 30 2023,New York Liberty,86,Seattle Storm,78,Box Score,
Thu Jun 1 2023,Connecticut Sun,89,Minnesota Lynx,84,Box Score,
Fri Jun 2 2023,Las Vegas Aces,92,Atlanta Dream,87,Box Score,
Fri Jun 2 2023,New York Liberty,77,Chicago Sky,76,Box Score,Commissioner's Cup Game
Fri Jun 2 2023,Los Angeles Sparks,99,Phoenix Mercury,93,Box Score,Commissioner's Cup Game
Fri Jun 2 2023,Dallas Wings,74,Washington Mystics,75,Box Score,
Sat Jun 3 2023,Seattle Storm,85,Los Angeles Sparks,92,Box Score,Commissioner's Cup Game
Sat Jun 3 2023,Minnesota Lynx,80,Washington Mystics,78,Box Score,
Sun Jun 4 2023,Dallas Wings,74,Connecticut Sun,80,Box Score,
Sun Jun 4 2023,Las Vegas Aces,84,Indiana Fever,80,Box Score,
Sun Jun 4 2023,Chicago Sky,86,New York Liberty,82,Box Score,Commissioner's Cup Game
Tue Jun 6 2023,Indiana Fever,103,Chicago Sky,108,Box Score,Commissioner's Cup Game
Tue Jun 6 2023,Las Vegas Aces,90,Connecticut Sun,84,Box Score,
Tue Jun 6 2023,Los Angeles Sparks,63,Seattle Storm,66,Box Score,Commissioner's Cup Game
Wed Jun 7 2023,Phoenix Mercury,79,Dallas Wings,84,Box Score,Commissioner's Cup Game
Thu Jun 8 2023,Las Vegas Aces,77,Connecticut Sun,94,Box Score,
Fri Jun 9 2023,New York Liberty,106,Atlanta Dream,83,Box Score,Commissioner's Cup Game
Fri Jun 9 2023,Phoenix Mercury,77,Dallas Wings,90,Box Score,
Fri Jun 9 2023,Chicago Sky,62,Los Angeles Sparks,77,Box Score,
Fri Jun 9 2023,Indiana Fever,71,Minnesota Lynx,69,Box Score,
Fri Jun 9 2023,Washington Mystics,73,Seattle Storm,66,Box Score,
Sun Jun 11 2023,Connecticut Sun,89,Atlanta Dream,77,Box Score,Commissioner's Cup Game
Sun Jun 11 2023,Phoenix Mercury,85,Indiana Fever,82,Box Score,
Sun Jun 11 2023,Chicago Sky,80,Las Vegas Aces,93,Box Score,
Sun Jun 11 2023,Los Angeles Sparks,86,Minnesota Lynx,91,Box Score,Commissioner's Cup Game
Sun Jun 11 2023,Dallas Wings,93,New York Liberty,102,Box Score,
Sun Jun 11 2023,Washington Mystics,71,Seattle Storm,65,Box Score,
Tue Jun 13 2023,Washington Mystics,66,Indiana Fever,87,Box Score,Commissioner's Cup Game
Tue Jun 13 2023,Atlanta Dream,86,New York Liberty,79,Box Score,Commissioner's Cup Game
Tue Jun 13 2023,Seattle Storm,83,Phoenix Mercury,69,Box Score,Commissioner's Cup Game
Wed Jun 14 2023,Los Angeles Sparks,79,Dallas Wings,61,Box Score,Commissioner's Cup Game
Thu Jun 15 2023,Indiana Fever,92,Chicago Sky,90,Box Score,
Thu Jun 15 2023,Atlanta Dream,92,Connecticut Sun,88,Box Score,Commissioner's Cup Game
Thu Jun 15 2023,Seattle Storm,63,Las Vegas Aces,96,Box Score,Commissioner's Cup Game
Fri Jun 16 2023,Minnesota Lynx,77,Los Angeles Sparks,72,Box Score,Commissioner's Cup Game
Fri Jun 16 2023,Phoenix Mercury,69,Washington Mystics,88,Box Score,
Sat Jun 17 2023,Seattle Storm,109,Dallas Wings,103,Box Score,Commissioner's Cup Game
